threshold	replicate	old set X	old score	old FN	new set X	new score	new FN	set X	score	FN
t20	13	25641	0.693926397	0.1111	31227	0.693926397	0.1111	0.2179 	0.0000 	0.0000
t3	13	33373	0.621160901	0.1333	43245	0.621160901	0.1333	0.2958 	0.0000 	0.0000
t33	13	15645	0.729373769	0.1778	21433	0.729516887	0.2	0.3700 	0.0002 	0.0222
t5	13	35115	0.635024583	0.0889	43841	0.635000008	0.1333	0.2485 	0.0000 	0.0444
t50	13	14943	0.766449829	0.2222	14605	0.766615212	0.2222	-0.0226 	0.0002 	0.0000
t7	13	30129	0.645326136	0.0889	43479	0.64547757	0.1333	0.4431 	0.0002 	0.0444
t75	13	11547	0.81396393	0.2444	9439	0.813889901	0.2889	-0.1826 	-0.0001 	0.0445
ori	14	33845	0.57070036	0.1556	32959	0.570799183	0.0889	-0.0262 	0.0002 	-0.0667
t0	14	34309	0.58864432	0.1333	36871	0.588765497	0.1556	0.0747 	0.0002 	0.0223
t10	14	30359	0.65755769	0.1111	41739	0.657004056	0.1333	0.3748 	-0.0008 	0.0222
t20	14	21991	0.691140007	0.1333	30061	0.690904821	0.1778	0.3670 	-0.0003 	0.0445
t3	14	31891	0.622464824	0.1111	43193	0.622128928	0.1111	0.3544 	-0.0005 	0.0000
t33	14	16553	0.724655682	0.1778	20607	0.724615504	0.1778	0.2449 	-0.0001 	0.0000
t5	14	30887	0.6345374	0.1111	43709	0.634086981	0.0889	0.4151 	-0.0007 	-0.0222
t50	14	12875	0.759737597	0.1778	14475	0.759643769	0.1778	0.1243 	-0.0001 	0.0000
t7	14	29873	0.643744803	0.1111	43397	0.644071691	0.0889	0.4527 	0.0005 	-0.0222
t75	14	8559	0.822643462	0.2667	8509	0.823060922	0.2444	-0.0058 	0.0005 	-0.0223
ori	15	34055	0.566818887	0.0889	33145	0.566479546	0.1333	-0.0267 	-0.0006 	0.0444
t0	15	33749	0.583751267	0.1111	37185	0.583528269	0.1333	0.1018 	-0.0004 	0.0222
t10	15	28013	0.655029182	0.0889	40931	0.655029182	0.0889	0.4611 	0.0000 	0.0000
t20	15	26511	0.689332278	0.1111	31017	0.689168112	0.1556	0.1700 	-0.0002 	0.0445
t3	15	32263	0.620079439	0.1111	43295	0.619985478	0.1111	0.3419 	-0.0002 	0.0000
t33	15	19139	0.727479645	0.1778	21009	0.727479645	0.1778	0.0977 	0.0000 	0.0000
t5	15	35831	0.632263065	0.0889	44011	0.631975879	0.1556	0.2283 	-0.0005 	0.0667
t50	15	15485	0.764833378	0.2667	14479	0.764764027	0.2444	-0.0650 	-0.0001 	-0.0223
t7	15	31059	0.641899019	0.0889	43589	0.641732382	0.1556	0.4034 	-0.0003 	0.0667
t75	15	10897	0.822647967	0.3111	8561	0.823527976	0.2667	-0.2144 	0.0011 	-0.0444
ori	16	33869	0.56930887	0.0667	32951	0.569261728	0.0889	-0.0271 	-0.0001 	0.0222
t0	16	33483	0.587067174	0.0889	36933	0.587067174	0.0889	0.1030 	0.0000 	0.0000
t10	16	28281	0.657685984	0.1111	41871	0.657685984	0.1111	0.4805 	0.0000 	0.0000
t20	16	21969	0.693387971	0.1111	31539	0.693589856	0.0889	0.4356 	0.0003 	-0.0222
t3	16	33793	0.621927571	0.1111	43309	0.621927571	0.1111	0.2816 	0.0000 	0.0000
t33	16	21259	0.729580252	0.1778	21949	0.729580252	0.1778	0.0325 	0.0000 	0.0000
