2X	500	2	4096	ASTRAL2	7508.479
2X	500	3	4096	ASTRAL2	7185.86
2X	500	4	4096	ASTRAL2	7542.386
2X	500	1	8192	ASTRAL2	38729.628
2X	500	2	8192	ASTRAL2	39279.488
2X	500	3	8192	ASTRAL2	38769.311
2X	500	4	8192	ASTRAL2	40008.881
2X	500	1	16384	ASTRAL2	172800
2X	500	2	16384	ASTRAL2	172800
2X	500	3	16384	ASTRAL2	172800
2X	500	4	16384	ASTRAL2	172800
2X	500	1	256	ASTRAL3	14.187
2X	500	2	256	ASTRAL3	21.254
2X	500	3	256	ASTRAL3	13.903
2X	500	4	256	ASTRAL3	25.076
2X	500	1	512	ASTRAL3	33.433
2X	500	2	512	ASTRAL3	50.929
2X	500	3	512	ASTRAL3	47.238
2X	500	4	512	ASTRAL3	51.021
2X	500	1	1024	ASTRAL3	171.814
2X	500	2	1024	ASTRAL3	117.206
2X	500	3	1024	ASTRAL3	110.233
2X	500	4	1024	ASTRAL3	114.566
2X	500	1	2048	ASTRAL3	502.521
2X	500	2	2048	ASTRAL3	495.852
2X	500	3	2048	ASTRAL3	737.112
2X	500	4	2048	ASTRAL3	483.098
2X	500	1	4096	ASTRAL3	2301.355
2X	500	2	4096	ASTRAL3	2229.509
2X	500	3	4096	ASTRAL3	2298.577
2X	500	4	4096	ASTRAL3	2269.685
2X	500	1	8192	ASTRAL3	16339.609
2X	500	2	8192	ASTRAL3	10634.944
2X	500	3	8192	ASTRAL3	10763.497
2X	500	4	8192	ASTRAL3	10930.618
2X	500	1	16384	ASTRAL3	48495.559
2X	500	2	16384	ASTRAL3	48197.611
2X	500	3	16384	ASTRAL3	49300.099
2X	500	4	16384	ASTRAL3	73820.424
