distance	length	replicate	cluster2	score2	fn2	cluster3	score3	fn3	cluster	score	fn
1X	1000	10	21849	0.670572382	0.0667	21577	0.670552446	0.0667	-0.012449082	-0.00003 	0
1X	1000	11	21569	0.67732103	0.0444	21311	0.67732103	0.0444	-0.011961612	0.00000 	0
1X	1000	12	21655	0.67413026	0.0889	21389	0.673746315	0.0889	-0.012283537	-0.00057 	0
1X	1000	13	21585	0.675349095	0.0667	21311	0.675349095	0.0889	-0.012694	0.00000 	0.0222
1X	1000	14	21501	0.677039315	0.0222	21225	0.676949301	0.0222	-0.012836612	-0.00013 	0
1X	1000	15	21235	0.678751346	0.0667	20977	0.678751346	0.0667	-0.012149753	0.00000 	0
1X	1000	16	21141	0.679610361	0.0444	20895	0.679810273	0.0444	-0.011636157	0.00029 	0
1X	1000	17	21673	0.672979875	0.0667	21363	0.672979875	0.0444	-0.014303511	0.00000 	-0.0223
1X	1000	18	21933	0.672424422	0.0889	21693	0.672424422	0.0889	-0.010942416	0.00000 	0
1X	1000	19	21373	0.67759834	0.0222	21065	0.67759834	0.0222	-0.014410705	0.00000 	0
1X	1000	1	21863	0.670388154	0.0222	21533	0.670330887	0.0222	-0.015093994	-0.00009 	0
1X	1000	20	21667	0.67136477	0.0444	21353	0.67136477	0.0444	-0.014492085	0.00000 	0
1X	1000	2	21687	0.676667001	0.0889	21395	0.676667001	0.0889	-0.013464287	0.00000 	0
1X	1000	3	21625	0.672417083	0.0444	21363	0.672417083	0.0444	-0.012115607	0.00000 	0
1X	1000	4	21495	0.675380558	0.1111	21213	0.675380558	0.1111	-0.01311933	0.00000 	0
1X	1000	5	21913	0.672953407	0.0444	21563	0.672929057	0.0444	-0.015972254	-0.00004 	0
1X	1000	6	21485	0.6733109	0.0444	21265	0.6733109	0.0444	-0.010239702	0.00000 	0
1X	1000	7	21635	0.672486499	0.0889	21323	0.672486499	0.0889	-0.014421077	0.00000 	0
1X	1000	8	22037	0.670152991	0	21723	0.670152991	0	-0.014248763	0.00000 	0
