1X	1000	1000	19	t3	0.044444444						
1X	1000	1000	19	t33	0.044444444						
1X	1000	1000	19	t5	0.044444444						
1X	1000	1000	19	t50	0.111111111						
1X	1000	1000	19	t7	0.044444444						
1X	1000	1000	19	t75	0.2						
1X	1000	1000	2	ori	0.044444444						
1X	1000	1000	2	t0	0.044444444						
1X	1000	1000	2	t10	0.044444444						
1X	1000	1000	2	t20	0.044444444						
1X	1000	1000	2	t3	0.044444444						
1X	1000	1000	2	t33	0.088888889						
1X	1000	1000	2	t5	0.044444444						
1X	1000	1000	2	t50	0.133333333						
1X	1000	1000	2	t7	0.044444444						
1X	1000	1000	2	t75	0.2						
1X	1000	1000	20	ori	0.088888889						
1X	1000	1000	20	t0	0.088888889						
1X	1000	1000	20	t10	0.066666667						
1X	1000	1000	20	t20	0.022222222						
1X	1000	1000	20	t3	0.066666667						
1X	1000	1000	20	t33	0.044444444						
1X	1000	1000	20	t5	0.066666667						
1X	1000	1000	20	t50	0.066666667						
1X	1000	1000	20	t7	0.066666667						
1X	1000	1000	20	t75	0.155555556						
1X	1000	1000	3	ori	0.044444444						
1X	1000	1000	3	t0	0.044444444						
1X	1000	1000	3	t10	0.022222222						
1X	1000	1000	3	t20	0.066666667						
1X	1000	1000	3	t3	0.022222222						
1X	1000	1000	3	t33	0.111111111						
1X	1000	1000	3	t5	0.022222222						
1X	1000	1000	3	t50	0.111111111						
1X	1000	1000	3	t7	0.022222222						
1X	1000	1000	3	t75	0.2						
1X	1000	1000	4	ori	0.111111111						
1X	1000	1000	4	t0	0.088888889						
1X	1000	1000	4	t10	0.022222222						
1X	1000	1000	4	t20	0.088888889						
1X	1000	1000	4	t3	0.088888889						
1X	1000	1000	4	t33	0.177777778						
1X	1000	1000	4	t5	0.044444444						
1X	1000	1000	4	t50	0.155555556						
1X	1000	1000	4	t7	0.044444444						
1X	1000	1000	4	t75	0.2						
1X	1000	1000	5	ori	0.044444444						
1X	1000	1000	5	t0	0.044444444						
1X	1000	1000	5	t10	0.066666667						
1X	1000	1000	5	t20	0.066666667						
1X	1000	1000	5	t3	0.044444444						
1X	1000	1000	5	t33	0.044444444						
1X	1000	1000	5	t5	0.088888889						
1X	1000	1000	5	t50	0.044444444						
1X	1000	1000	5	t7	0.066666667						
1X	1000	1000	5	t75	0.155555556						
1X	1000	1000	6	ori	0.044444444						
1X	1000	1000	6	t0	0.044444444						
1X	1000	1000	6	t10	0.044444444						
1X	1000	1000	6	t20	0.044444444						
1X	1000	1000	6	t3	0.044444444						
1X	1000	1000	6	t33	0.066666667						
1X	1000	1000	6	t5	0.044444444						
1X	1000	1000	6	t50	0.111111111						
1X	1000	1000	6	t7	0.022222222						
1X	1000	1000	6	t75	0.133333333						
