143 ASTRALII non 500 193 26 .1347
143 ASTRALII non 2000 193 19 .0984
144 ASTRALII non 1000 123 3 .0244
144 ASTRALII non 500 123 6 .0488
144 ASTRALII non 2000 123 4 .0325
145 ASTRALII non 1000 106 6 .0566
145 ASTRALII non 500 106 7 .066
145 ASTRALII non 2000 106 4 .0377
146 ASTRALII non 1000 109 3 .0275
146 ASTRALII non 500 109 4 .0367
146 ASTRALII non 2000 109 4 .0367
147 ASTRALII non 1000 193 46 .2383
147 ASTRALII non 500 193 45 .2332
147 ASTRALII non 2000 193 46 .2383
148 ASTRALII non 1000 149 7 .047
148 ASTRALII non 500 149 8 .0537
148 ASTRALII non 2000 149 5 .0336
149 ASTRALII non 1000 55 3 .0545
149 ASTRALII non 500 55 5 .0909
149 ASTRALII non 2000 55 1 .0182
150 ASTRALII non 1000 134 2 .0149
150 ASTRALII non 500 134 2 .0149
150 ASTRALII non 2000 134 4 .0299
151 ASTRALII non 1000 163 13 .0798
151 ASTRALII non 500 163 8 .0491
151 ASTRALII non 2000 163 7 .0429
152 ASTRALII non 1000 179 5 .0279
152 ASTRALII non 500 179 5 .0279
152 ASTRALII non 2000 179 7 .0391
153 ASTRALII non 1000 78 9 .1154
153 ASTRALII non 500 78 11 .141
153 ASTRALII non 2000 78 7 .0897
154 ASTRALII non 1000 131 7 .0534
154 ASTRALII non 500 131 7 .0534
154 ASTRALII non 2000 131 6 .0458
155 ASTRALII non 1000 132 3 .0227
155 ASTRALII non 500 132 2 .0152
155 ASTRALII non 2000 132 3 .0227
156 ASTRALII non 1000 168 1 .006
156 ASTRALII non 500 168 3 .0179
156 ASTRALII non 2000 168 0 0
157 ASTRALII non 1000 53 0 0
157 ASTRALII non 500 53 0 0
157 ASTRALII non 2000 53 0 0
158 ASTRALII non 1000 140 29 .2071
158 ASTRALII non 500 140 30 .2143
158 ASTRALII non 2000 140 30 .2143
159 ASTRALII non 1000 188 4 .0213
159 ASTRALII non 500 188 7 .0372
159 ASTRALII non 2000 188 3 .016
160 ASTRALII non 1000 196 5 .0255
160 ASTRALII non 500 196 10 .051
160 ASTRALII non 2000 196 5 .0255
161 ASTRALII non 1000 72 9 .125
161 ASTRALII non 500 72 12 .1667
161 ASTRALII non 2000 72 6 .0833
162 ASTRALII non 1000 193 8 .0415
162 ASTRALII non 500 193 11 .057
162 ASTRALII non 2000 193 4 .0207
163 ASTRALII non 1000 160 12 .075
