Replicate Speciation-rate Extinction-rate Ingroup-divergence/divergence-to-the-ingroup-ratio Number-of-leaves Generations Haploid-efective-population-size Global-substitution-rate Lineage-(species)-specific-rate-heterogeneity-gamma-shape Gene-family-(locus-tree)-specific-rate-heterogeneity-gamma-shape Individuals-per-species ASTRAL-quartetScore outgroup-miss-replacement mean-seq-length
042 0.00000014466470 0.00000013308730 1.5 108.0 8323965.0 424685.0 0.00000001408343000 4.04895800 8.23994200 1.0 0.8962408764227967 2000 541.583
043 0.00000033810920 0.00000028241560 1.5 181.0 2861554.0 233794.0 0.00000003846972000 17.12069000 2.90100500 1.0 0.7760482550053833 2000 203.873
044 0.00000020423990 0.00000015679910 1.5 157.0 2572201.0 335410.0 0.00000003593240000 5.85249500 2.82919600 1.0 0.6886531852235381 2000 512.68
045 0.00000037662670 0.00000011543140 1.5 54.0 1706006.0 552159.0 0.00000003676281000 9.96685100 4.06662200 1.0 0.6527892803213557 1972 530.186
046 0.00000025700370 0.00000012537370 1.5 148.0 1212554.0 555437.0 0.00000000981892200 3.93007500 2.18757700 1.0 0.5096720892914762 1862 1518.26
047 0.00000041407640 0.00000038344300 1.5 84.0 4604039.0 164599.0 0.00000000986507800 12.88168000 23.40174000 1.0 0.941605279572893 2000 515.037
048 0.00000086376940 0.00000026131270 1.5 176.0 2179222.0 249191.0 0.00000003034045000 6.96064600 4.58115100 1.0 0.7922405069185636 2000 742.442
049 0.00000012746420 0.00000010184960 1.5 112.0 698523.5 488103.0 0.00000013673890000 9.21688400 3.70741900 1.0 0.4780172282154583 1550 1038.22
050 0.00000055218270 0.00000021930690 1.5 189.0 5792254.0 899637.0 0.00000012927480000 1.64482600 4.76536300 1.0 0.8146199205679082 2000 778.622
051 0.00000013617610 0.00000010553600 1.5 170.0 339135.7 945583.0 0.00000006957213000 2.95198500 8.59232000 1.0 0.360520073300783 226 557.135
052 0.00000071981500 0.00000021715250 1.5 109.0 4162294.0 709276.0 0.00000004048870000 8.52806100 4.21942100 1.0 0.8011001849932057 1999 575.225
053 0.00000016783870 0.00000013211490 1.5 200.0 20202950.0 431200.0 0.00000000857529500 20.00556000 10.05020000 1.0 0.9881269201427005 2000 1405.34
054 0.00000068707360 0.00000023851020 1.5 120.0 2494773.0 546027.0 0.00000007407141000 2.38942000 4.96062100 1.0 0.7304057142033169 1998 490.002
055 0.00000097707040 0.00000025386020 1.5 106.0 860433.1 810640.0 0.00000003344066000 11.69190000 3.92323900 1.0 0.4925850977888273 1256 879.729
056 0.00000016351690 0.00000012564710 1.5 117.0 19441220.0 160398.0 0.00000002484206000 4.55544100 3.69338700 1.0 0.985413777531052 2000 591.42
